"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_50pin_to_40pin_tft_with_ar1100_adapter_pcb_adafruit_50pin_to_40pin_tft_with_ar1100_adapter\current_version\working\working.kicad_sch"
"Date:","09/09/2023 15:21:09"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C3","2","10uF","CAP_CERAMIC_0805MP","working:_0805MP","","",""
"C2","1","0.1uF","CAP_CERAMIC_0805MP","working:_0805MP","","",""
"C4, C6","2","0.01uF","CAP_CERAMIC_0805MP","working:_0805MP","","",""
"C5, C7","2","dnp","CAP_CERAMIC_0805MP","working:_0805MP","","",""
"FB1, FB2, FB3, FB4","4","Ferrite","FERRITE_0805","working:_0805","","",""
"FID1, FID2, FID3","3","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"IC1","1","AR1100_SSOP","AR1100_SSOP","working:TSSOP20-5.3MMBODY","","",""
"J1","1","XF2-40?-RARBT","XF2-40?-RARBT","working:4-1734839-0","","",""
"J2","1","XF2-50?-REV","XF2-50?-REV","working:5-1734839-0-REV","","",""
"LED1","1","Green","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"LED2","1","red","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"R1","1","20K","RESISTOR_0805MP","working:_0805MP","","",""
"R2, R3","2","1K","RESISTOR_0805MP","working:_0805MP","","",""
"U$11, U$14, U$15, U$16","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1","1","USBMINIBLARGE","USBMINIBLARGE","working:USB-MINIB_LARGER","","",""
"Y1","1","RESONATORSMD","RESONATORSMD","working:RESONATOR-SMD","","",""
