"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_2_8_tft_breakout_pcb_adafruit_tftlcd8bit\current_version\working\working.kicad_sch"
"Date:","09/09/2023 09:09:14"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","37"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4","2","0.1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C2, C3, C5","3","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"IC1","1","LP298XS","LP298XS","working:SOT23-5L","","",""
"IC2, IC3","2","74245DW","74245DW","working:SO20W","","",""
"IC4","1","APX803-SAG","AXP083-SAG","working:SOT23","","",""
"JP1, JP2","2","HEADER-1X20ROUND","HEADER-1X20ROUND","working:1X20_ROUND","","",""
"Q1","1","MMBT2222","-NPN-SOT23-BEC","working:SOT23-BEC","","",""
"R1, R2, R3, R4","4","10","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R5, R7","2","1K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R6","1","10K","R-US_R0805","working:R0805","","",""
"R8, R9, R10, R11, R12","5","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"SJ1, SJ2, SJ3, SJ4","4","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"U$7, U$15, U$16, U$17","4","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE3.0THIN","working:MOUNTINGHOLE_3.0_PLATEDTHIN","","",""
"U$9, U$11, U$23","3","FIDUCIAL","FIDUCIAL","working:FIDUCIAL_1MM","","",""
"U$10","1","DISP_LCD_1.28IN_240X320_50PIN","DISP_LCD_1.28IN_240X320_50PIN","working:TFT_2.83IN_240X320_50PIN","","",""
"X1","1","MICROSD","MICROSD","working:MICROSD","","",""
