"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_mcp23017_pcb_adafruit_mcp23017_gpio_expander\current_version\working\working.kicad_sch"
"Date:","15/09/2023 05:31:32"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"ADDR0, ADDR1, ADDR2","3","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"C1","1","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C2, C3","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CONN3, CONN4","2","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"D1","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"FID3, FID4","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","MCP23017ML","MCP23017ML","working:QFN28-ML_6X6MM","","",""
"JP1, JP5","2","HEADER-1X570MIL","HEADER-1X570MIL","working:1X05_ROUND_70","","",""
"JP2, JP6, JP7, JP8","4","HEADER-1X870MIL","HEADER-1X870MIL","working:1X08_ROUND_70","","",""
"R1, R3","2","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"R2","1","10k","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"SJ1","1","SOLDERJUMPERCLOSED","SOLDERJUMPERCLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"U$1, U$17, U$19, U$21","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
