"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\aaarsene_cc45_cc45\current_version\working\working.kicad_sch"
"Date:","13/09/2023 15:12:40"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1u","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C2, C3, C4, C8","4","0.1u","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C5","1","10u","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C6, C7","2","22p","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor, small symbol","",""
"F1","1","500m","Polyfuse_Small","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resettable fuse, polymeric positive temperature coefficient, small symbol","",""
"J1","1","AVR-ISP-6","AVR-ISP-6","random-keyboard-parts:Reset_Pretty-Mask","Atmel 6-pin ISP connector","",""
"R1, R4","2","10k","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor, small symbol","",""
"R2, R3","2","22","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor, small symbol","",""
"R5, R6","2","5.1k","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor, small symbol","",""
"SW1","1","RESET","SW_Push_Dual","random-keyboard-parts:SKQG-1155865","Push button switch, generic, symbol, four pins","",""
"U1","1","ATmega32U4-AU","ATmega32U4-AU-MCU_Microchip_ATmega","Package_QFP:TQFP-44_10x10mm_P0.8mm","","",""
"U2","1","PRTR5V0U2X","PRTR5V0U2X-random-keyboard-parts","random-keyboard-parts:SOT143B","","",""
"USB1","1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Type-C","Type-C:HRO-TYPE-C-31-M-12-HandSoldering","","",""
"X1","1","XTAL","Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","Four pin crystal, GND on pins 2 and 4, small symbol","",""
