"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adamgreig_thegrid_thegrid\current_version\working\working.kicad_sch"
"Date:","18/09/2023 15:35:54"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","50"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1",".33u","C","","","",""
"C2, C3","2",".1u","C","","","",""
"D1, D2, D3, D4, D5, D6, D7","7","LED","LED","","","",""
"P1","1","POWER","CONN_2","","","",""
"P2","1","SHIFT_IN","CONN_4","","","",""
"P3","1","SHIFT_OUT","CONN_4","","","",""
"P4, P5, P6, P7, P8, P9, P10","7","CONN_2","CONN_2","","","",""
"Q1, Q2, Q3, Q4, Q5, Q6, Q7","7","FQP7P06","FQP7P06","","","",""
"R1, R3, R5, R7, R9, R11, R13","7","10k","R","","","",""
"R2, R4, R6, R8, R10, R12, R14","7","100","R","","","",""
"R15, R16, R17, R18, R19, R20, R21","7","680","R","","","",""
"U1","1","UA7805CKCS","7805","","","",""
"U2","1","TPIC6C595","TPIC6C595","","","",""
