"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_mpr121_capacitive_touch_shield_pcb_adafruit_mpr121_capacitive_touch_shield_original\current_version\working\working.kicad_sch"
"Date:","15/09/2023 12:45:54"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","51"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"ADDR0","1","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"AL1, AL2, AL3, AL4, AL5, AL6, AL7, AL8, AL9, AL10, AL11, AL12","12","ALLIGATORCLIP_MICRO","ALLIGATORCLIP_MICRO","working:ALLIGATORCLIP","","",""
"C2, C5","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3, C4","2","0.1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"D1","1","RED","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"FID1, FID2, FID3","3","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"IRQ0","1","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"JP1, JP4","2","PINHD-1X8CLEANBIG","PINHD-1X8CLEANBIG","working:1X08-CLEANBIG","","",""
"JP2, JP3, JP5, JP7, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16","12","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"JP6","1","HEADER-1X1070MIL","HEADER-1X1070MIL","working:1X10_ROUND70","","",""
"JP8","1","PINHD-1X6CB","PINHD-1X6CB","working:1X06-CLEANBIG","","",""
"Q1, Q2","2","BSS138","MOSFET-NWIDE","working:SOT23-WIDE","","",""
"R1, R2, R3, R4","4","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R5, R6","2","75K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R7","1","1K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"SW2","1","SPST_TACT-EVQQ2","SPST_TACT-EVQQ2","working:EVQ-Q2","","",""
"U2","1","MPR121","MPR121Q","working:QFN20_3MM_NOTHERMAL","","",""
"U4","1","MIC5225-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U$41","1","ARDUINO_R3_ICSP","ARDUINO_R3_ICSP","working:ARDUINOR3_ICSP","","",""
