"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_lps2x_pcb_adafruit_lps25_rev_a\current_version\working\working.kicad_sch"
"Date:","15/09/2023 00:47:21"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C2, C3","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CONN3, CONN4","2","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"D1","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"D2","1","1N4148","DIODESOD-323","working:SOD-323","","",""
"FID3, FID4","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"JP3","1","HEADER-1X8ROUND","HEADER-1X8ROUND","working:1X08_ROUND","","",""
"Q2","1","BSS138","MOSFET-N_DUAL","working:SOT363","","",""
"R1, R4, R5","3","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R3","1","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"SJ1","1","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"U2","1","AP2112K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U$1, U$17","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"U$2","1","LPS2X_LPS22","LPS2X_LPS22","working:HLGA-10L-2X2MM","","",""
