"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_e_paper_display_breakout_pcbs_adafruit_2_7in_tri_color_eink_display_with_eyespi\current_version\working\working.kicad_sch"
"Date:","13/09/2023 20:52:54"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF","CAP_CERAMIC0805_10MGAP","working:0805_10MGAP","","",""
"C2, C6","2","1uF/10V","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3, C4, C16, C22, C23","5","1uF/25V","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C5","1","4.7uF/25V","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C7, C8","2","1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C15","1","10uF/10V+","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C20, C21","2","10µF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C24","1","1uF/6V","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"D1, D2, D3","3","MBR0530","DIODE-SCHOTTKYSOD-123","working:SOD-123","","",""
"EINK1","1","EINK_EPD0231EINK_154IN_200X200","EINK_EPD0231EINK_154IN_200X200","working:EINK_154IN","","",""
"FID1, FID2, FID3","3","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","74245TSSOP20","74245TSSOP20","working:TSSOP20","","",""
"JP2","1","HEADER-1X13","HEADER-1X13","working:1X13_ROUND_70","","",""
"L1","1","10uH","INDUCTORNR401","working:INDUCTOR_4X4MM_NR401","","",""
"Q5","1","IRLML2060TRPBF","IRLML2060TRPBF","working:SOT23-3","","",""
"R1, R2, R3, R5, R6","5","100K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R4","1","0.47ohm","RESISTOR0805_10MGAP","working:0805_10MGAP","","",""
"U2","1","MIC5225-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U4","1","23K640-I/SN","SRAM_SPI_SOIC8","working:SOIC8_150MIL","","",""
"U$3, U$4, U$5, U$6","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1","1","MICROSD","MICROSD","working:MICROSD","","",""
