"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_littlewireisp_littlewireisp\current_version\working\working.kicad_sch"
"Date:","17/09/2023 17:54:22"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","4u7","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C2, C3","2","100n","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"D1, D2","2","3V6","DIODE-ZENERSOD323","working:SOD-323","","",""
"D3","1","DIODESOD-123","DIODESOD-123","working:SOD-123","","",""
"D4, D5","2","LED0805_NOOUTLINE","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"R1, R2","2","68R","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R3","1","1K5","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R4, R6","2","470R","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R5","1","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R7","1","1K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"U1","1","ATTINY45","ATTINY45","working:SO08-EIAJ","","",""
"U2","1","74125-SOIC14","74125-SOIC14","working:SOIC14","","",""
"X1","1","USBMINIBLARGE","USBMINIBLARGE","working:USB-MINIB_LARGER","","",""
"X2","1","AVR_SPI_PRG_6SMD","AVR_SPI_PRG_6SMD","working:2X3_SMD","","",""
