"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_si5351a_clock_generator_breakout_pcb_adafruit_si5351a\current_version\working\working.kicad_sch"
"Date:","16/09/2023 10:56:49"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","0.47uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3, C5","2","10µF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"JP1","1","HEADER-1X7THICKER","HEADER-1X7THICKER","working:1X07_ROUND_76","","",""
"Q1, Q2","2","BSS138","MOSFET-NWIDE","working:SOT23-WIDE","","",""
"R5, R6, R7, R8","4","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"U1","1","Si5351A-B-GT","SI5351A","working:MSOP10","","",""
"U2","1","RT9193","VREG_SOT23-5","working:SOT23-5","","",""
"U$10, U$11","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1, X2, X3","3","SMACONNECTOR_EDGE","SMACONNECTOR_EDGE","working:SMA_EDGELAUNCH","","",""
"Y1","1","25MHz","CRYSTAL3.2X2.5","working:CRYSTAL_3.2X2.5","","",""
