"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_i2c_qt_rotary_encoder_pcb_adafruit_i2c_qt_rotary_encoder\current_version\working\working.kicad_sch"
"Date:","14/09/2023 08:47:18"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","29"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C2, C3","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C4","1","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"CONN3, CONN4","2","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"D1","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"D2","1","red","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"FID3, FID4","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","ATSAMD09D14A-MU","ATSAMD09D14A-MU","working:QFN24_4MM","","",""
"JP2","1","HEADER-1X670MIL","HEADER-1X670MIL","working:1X06_ROUND_70","","",""
"LED1","1","WS2812B_SK6812E","WS2812B_SK6812E","working:NEO3535_REVERSE","","",""
"Q2","1","BSS138","MOSFET-N_DUAL","working:SOT363","","",""
"R1, R2, R7","3","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R6","1","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"SJ1, SJ8, SJ9","3","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"SW1","1","ENCODER_PLUS_SWITCH_PEC11","ENCODER_PLUS_SWITCH_PEC11","working:PEC11+SWITCH","","",""
"TP1, TP2, TP3","3","TPTP15R","TPTP15R","working:TP15R","","",""
"U1","1","AP2112K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U$25, U$27, U$29, U$30","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
