"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\aylons_kicad_source_mirror_sonde_xilinx\current_version\working\working.kicad_sch"
"Date:","27/09/2023 15:25:44"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF","CP","Discret:CP5","","",""
"C2, C3, C4, C5","4","100pF","C","Discret:C2","","",""
"D1, D2","2","BAT46","DIODESCH","Discret:D3","","",""
"J1","1","DB25MALE","DB25","Connect:DB25M_CI","","",""
"J2","1","DB9MALE","DB9","Connect:DB9M_CI_INVERT","","",""
"P1","1","CONN_6","CONN_6","Connect:bornier6","","",""
"R1, R6, R7, R8, R9, R10, R11, R12, R13, R14","10","100","R","Discret:R4","","",""
"R2","1","5,1K","R","Discret:R4","","",""
"R4","1","47","R","Discret:R4","","",""
"R5","1","1K","R","Discret:R4","","",""
"U1, U2","2","74LS125","74LS125","Sockets_DIP:DIP-14__300_ELL","","",""
