"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adamgreig_daqnet_proto_sensor\current_version\working\working.kicad_sch"
"Date:","17/09/2023 20:54:03"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","74"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C5, C7, C8, C9, C14, C20, C21, C23, C24, C25, C26, C28, C30","15","100n","C-agg","agg:0402","","",""
"C3, C4, C6, C10, C11, C12, C27, C29","8","10n","C-agg","agg:0402","","",""
"C13, C15, C19","3","10µ","C-agg","agg:0603","","",""
"C16","1","0µ47 48V","C-agg","agg:0603","","",""
"C17","1","100n 48V","C-agg","agg:0603","","",""
"C18, C22","2","1µ","C-agg","agg:0402","","",""
"D1, D2, D3","3","LED","LED-agg","agg:0603-LED","","",""
"D4","1","ESD_DIODE","ESD_DIODE-agg","agg:0402","","",""
"IC1","1","RJHSE-538x","RJHSE-538x-agg","agg:RJHSE-538X","","",""
"IC2","1","MAX15062","MAX15062-agg","agg:TDFN-8","","",""
"IC3","1","MCP1700","MCP1700-agg","agg:SOT-23","","",""
"IC4","1","iCE40HX8K-BG121","iCE40HX8K-BG121-agg","agg:Lattice-BG121","","",""
"IC5","1","W25Q80","W25Q80-agg","agg:UFDFN-8","","",""
"IC6","1","MAX11665AUT","MAX11665AUT-agg","agg:SOT-23-6","","",""
"IC7","1","ECMF04-4HSM10","ECMF04-4HSM10-agg","agg:uQFN-10L","","",""
"J1","1","~","CONN_02x05-agg","agg:FTSH-105-01-F-D-K","","",""
"J2","1","~","CONN_02x03-agg","agg:TC2030-NL","","",""
"J3","1","GND","CONN_01x01-agg","agg:SIL-254P-01","","",""
"L1","1","33µ","L-agg","agg:LPS4018","","",""
"P1","1","COAX","COAX-agg","agg:BNC_PCB_RA_5-1634556-0","","",""
"R1, R3, R9, R10, R11","5","1k","R-agg","agg:0402","","",""
"R2, R7, R8, R19","4","100","R-agg","agg:0402","","",""
"R4, R5, R6","3","140","R-agg","agg:0402","","",""
"R12, R13, R14, R15, R16, R20, R21","7","10k","R-agg","agg:0402","","",""
"R17, R18","2","DNF","R-agg","agg:0402","","",""
"SW1, SW2, SW3","3","~","SWITCH_SPST-agg","agg:KSR232G","","",""
"TP1, TP2, TP3","3","TESTPAD","TESTPAD-agg","agg:TESTPAD","","",""
"Y1","1","25M","TCXO_ST-agg","agg:XTAL-25x20","","",""
