"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_can_bus_featherwing_pcb_adafruit_can_bus_featherwing\current_version\working\working.kicad_sch"
"Date:","11/09/2023 13:28:28"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C12, C14","4","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3","1","1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C5, C6","2","47pF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C7, C8","2","15pF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C10, C11, C22","3","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"D1","1","PESD1CAN","PESD1CAN","working:SOT23","","",""
"FID2, FID3","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","TJA1051T/3","CAN_TRANSCIEVER_TCAN1051V","working:SOIC8_150MIL","","",""
"IC2","1","MCP2515/SO","MCP2515/SO","working:SOIC18WIDE","","",""
"JP1","1","HEADER-1X16ROUND","HEADER-1X16ROUND","working:1X16_ROUND","","",""
"JP2","1","HEADER-1X12","HEADER-1X12","working:1X12_ROUND","","",""
"JP4","1","HEADER-1X4ROUND","HEADER-1X4ROUND","working:1X04_ROUND","","",""
"MS1","1","FEATHERWING_NODIM","FEATHERWING_NODIM","working:FEATHERWING_NODIM","","",""
"NEOPIX1","1","3.5mm","TERMBLOCK_1X3","working:TERMBLOCK_1X3-3.5MM","","",""
"R1, R2","2","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R4","1","120","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"SJ1, SJ3, SJ5, SJ6","4","SOLDERJUMPER_CLOSED","SOLDERJUMPER_CLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SW1","1","RKB2","SWITCH_TACT_SMT_RKB2","working:BTN_RKB2_4.6X2.8","","",""
"U1","1","AP3602","AP3602","working:SOT23-6","","",""
"X2","1","DE-9","M09D","working:M09D","","",""
"Y1","1","16MHz 9pF","CRYSTAL3.2X2.5","working:CRYSTAL_3.2X2.5","","",""
