"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_pwm_servo_featherwing_pcb_pwmservo_featherwing_rev_b\current_version\working\working.kicad_sch"
"Date:","16/09/2023 03:54:00"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","26"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C2","1","CPOL-USE3.5-8","CPOL-USE3.5-8","working:E3,5-8","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"J1","1","TERMBLOCK_1X2","TERMBLOCK_1X2","working:TERMBLOCK_1X2-3.5MM","","",""
"JP1, JP2","2","HEADER-3X04","HEADER-3X04","working:3X04","","",""
"JP3","1","HEADER-1X16ROUND","HEADER-1X16ROUND","working:1X16_ROUND","","",""
"JP4","1","HEADER-1X12","HEADER-1X12","working:1X12_ROUND","","",""
"LED1","1","GREEN","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"MS1","1","FEATHERWING","FEATHERWING","working:FEATHERWING","","",""
"Q1","1","AON7401","MOSFET-P-POWERDI3333","working:POWERDI3333","","",""
"R1, R2","2","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"R7","1","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R10","1","470","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R11, R13","2","220","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"SJ_A0, SJ_A1, SJ_A2, SJ_A3, SJ_A4, SJ_A5","6","SOLDERJUMPERREFLOW_NOPASTE","SOLDERJUMPERREFLOW_NOPASTE","working:SOLDERJUMPER_REFLOW_NOPASTE","","",""
"SW1","1","SWITCH_TACT_SMT4.6X2.8","SWITCH_TACT_SMT4.6X2.8","working:BTN_KMR2_4.6X2.8","","",""
"U1","1","PCA9685","PCA9685","working:TSSOP28","","",""
