"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_1_44_tft_breakout_pcb_adafruit_tft144_breakout\current_version\working\working.kicad_sch"
"Date:","09/09/2023 12:08:26"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C4","1","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"JP1","1","HEADER-1X1176MIL","HEADER-1X1176MIL","working:1X11_ROUND_76","","",""
"Q3","1","BSS138","MOSFET-NWIDE","working:SOT23-WIDE","","",""
"R1, R2, R3, R4","4","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"TFT2","1","DISP_LCD_ST7735_1.44IN","DISP_LCD_ST7735_1.44IN","working:TFT_1.44IN_128_128","","",""
"U1","1","AP2127K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U2","1","74HC4050PWR","74HC4050DTSSOP","working:TSSOP16","","",""
"U$3, U$4, U$5","3","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"U$7, U$8, U$9, U$10","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1","1","MICROSD","MICROSD","working:MICROSD","","",""
"X2","1","EYE_SPI_DISPLAY_FLIP","EYE_SPI_DISPLAY_FLIP","working:EYE_SPI_DISPLAY_BOTCONTACT","","",""
