"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"K_,1,K_.1,K_;1,K_A1,K_B1,K_C1,K_D1,K_E1,K_F1,K_G1,K_H1,K_I1,K_J1,K_K1,K_L1,K_M1,K_N1,K_O1,K_P1,K_Q1,K_R1,K_S1,K_SHIFT3,K_T1,K_U1,K_V1,K_W1,K_X1,K_Y1,K_Z1,K_SRSHIFT2,K_'1,K_/1,K_[1,K_]1,K_RWIN2,K_\2";"MX-1U";37;"MX-1U";;;
2;"K_\1,K_TAB1,K_RALT2,K_RCTRL2";"MX-1.5U";4;"MX-1.5U";;;
3;"K_ALT1,K_RALT1,K_SHIFT2,K_WIN1,K_CTRL1";"MX-1.25U";5;"MX-1.25U";;;
4;"K_CAPS1,K_SRSHIFT1";"MX-1.75U";2;"MX-1.75U";;;
5;"K_CAPS2,K_RCTRL1,K_RMENU1,K_RWIN1,K_SPLSPACE2";"MX-1.25U-FLIPPED";5;"MX-1.25U";;;
6;"K_SHIFT1,K_ENTER1";"MX-2.25U";2;"MX-2.25U";;;
7;"K_ALT2,K_CTRL2";"MX-1.5U-FLIPPED";2;"MX-1.5U";;;
8;"K_RSHIFT1";"MX-2.75U";1;"MX-2.75U";;;
9;"K_WIN2";"MX-1U-FLIPPED";1;"MX-1U";;;
10;"K_ENTER2";"MX-ISO-ReversedStabilizers";1;"MX-2.25U";;;
11;"K_SPACE1";"MX-6.25U-ReversedStabilizers";1;"MX-6.25U";;;
12;"K_SPLSPACE1";"MX-2.25U-ReversedStabilizers";1;"MX-2.25U";;;
13;"K_SPLSPACE3";"MX-2.75U-ReversedStabilizers";1;"MX-2.75U";;;
14;"G***,G***";"ai-ring-6mm";2;"LOGO";;;
15;"K_SPACE2";"MX-7U-ReversedStabilizers";1;"MX-7U";;;
16;"C2";"C_0603";1;"10uF";;;
17;"C3,C4";"C_0603";2;"0.1uF";;;
18;"C6";"C_0603";1;"1uF";;;
19;"C7,C8";"C_0603";2;"22pF";;;
20;"D16,D17,D18,D19,D20,D21,D22,D23,D24,D25,D26,D27,D31,D32,D33,D34,D35,D36,D37,D38,D39,D40,D42,D44,D45,D46,D47,D48,D49,D50,D51,D52,D53,D55,D59,D60,D61,D63,D64,D67,D41,D54,D1,D2,D3,D4,D5,D6,D7,D8,D9";"D_SOD-123";51;"SOD-123";;;
21;"F1";"Fuse_SMD1206_Reflow";1;"500mA";;;
22;"Q1";"SOT-23";1;"2N7002";;;
23;"R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R59,R60,R61,R63,R64,R71,R72,R1,R2,R3,R4,R5,R6,R7,R8,R9";"R_0603";52;"1k";;;
24;"R67,R68";"R_0603";2;"22";;;
25;"R69";"R_0603";1;"100";;;
26;"R73,R74";"R_0603";2;"5.1k";;;
27;"U2";"SOT143B";1;"PRTR5V0U2X";;;
28;"Y1";"Crystal_SMD_3225-4pin_3.2x2.5mm";1;"16Mhz";;;
29;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
30;"RGB1,RGB2,RGB4,RGB5,RGB6,RGB7,RGB8,RGB9,RGB10,RGB12,RGB11,RGB3,RGB13,RGB14";"LED_WS2812B-PLCC4";14;"WS2812B";;;
31;"U1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"ATmega32U2-MU";;;
32;"SW1";"SKQGADE010";1;"SW_Push";;;
33;"R70";"R_0603";1;"10k";;;
