"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"K_.1,K_,1,K_#1,K_#2,K_#3,K_#4,K_#5,K_#6,K_#7,K_#8,K_#9,K_#0_1,K_'1,K_-1,K_/1,K_;1,K_[1,K_\1,K_]1,K_A1,K_B1,K_SBSPC1,K_C1,K_D1,K_E1,K_F1,K_G1,K_ESC1,K_H1,K_I1,K_J1,K_K1,K_L1,K_LALT1,K_M1,K_N1,K_O1,K_P1,K_R1,K_S1,K_T1,K_U1,K_V1,K_X1,K_Y1,K_Z1,K_LGUI1,K_SBSPC2,K_W1,K_Q1,K_EX1,K_EX2,K_EX3,K_EX4,K_RIGHT1,K_DOWN1,K_LEFT1,K_UP1,K_=1,K_SPC2";"MXOnly-1U-Hotswap";60;"MX-NoLED";;;
2;"K_ENTER1";"MXOnly-ISO-ROTATED-Hotswap";1;"MX-NoLED";;;
3;"K_LCTRL1,K_NFER1,K_XFER1,K_RCTRL1";"MXOnly-1.25U-Hotswap";4;"MX-NoLED";;;
4;"K_LSFT1";"MXOnly-2.25U-Hotswap";1;"MX-NoLED";;;
5;"K_SPC1";"MXOnly-6U-Centered-Hotswap-ReversedStabilizers";1;"MX-NoLED";;;
6;"K_TAB1";"MXOnly-1.5U-Hotswap";1;"MX-NoLED";;;
7;"K_RSFT1";"MXOnly-1.75U-Hotswap";1;"MX-NoLED";;;
8;"K_CAPS1";"MXOnly-1.75U-Hotswap";1;"MX-LED";;;
9;"REF**";"65_Modded";1;"65";;;
10;"G***,G***";"ai-ring-6mm-Combined";2;"LOGO";;;
11;"D2,D3,D4,D5,D6,D8,D12,D14,D15,D16,D18,D19,D20,D21,D23,D24,D25,D26,D28,D29,D31,D33,D34,D35,D36,D38,D39,D40,D41,D42,D44,D45,D46,D47,D49,D50,D51,D52,D54,D55,D56,D57,D59,D60,D61,D62,D66,D71,D72,D70,D65,D11,D17,D13,D1,D10,D30,D9,D37,D43,D48,D53,D58,D22,D27,D63,D67,D74,D7";"D_SOD-123";69;"SOD-123";;;
12;"R4";"R_0603_1608Metric";1;"1k";;;
13;"C1,C2,C3";"C_0603_1608Metric";3;"0.1uF";;;
14;"R5";"R_0603_1608Metric";1;"10k";;;
15;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
16;"D32";"D_SOD-123";1;"SMF6.0CA";;;
17;"F1";"Fuse_1206_3216Metric";1;"Polyfuse_Small";;;
18;"L1";"L_1206_3216Metric";1;"60R@100MHz";;;
19;"R2,R6";"R_0603_1608Metric";2;"5.1k";;;
20;"U2";"SOT143B";1;"PRTR5V0U2X";;;
21;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
22;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-MU";;;
23;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
24;"C6,C5";"C_0603_1608Metric";2;"22pF";;;
25;"C4";"C_0603_1608Metric";1;"10uF";;;
26;"C7";"C_0603_1608Metric";1;"1uF";;;
27;"R1,R3";"R_0603_1608Metric";2;"22";;;
