"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_2_4_tft_featherwing_pcb_adafruit_2_4in_tft_featherwing\current_version\working\working.kicad_sch"
"Date:","09/09/2023 14:29:47"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","59"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4","2","0.1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3, C6","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FID1, FID2, FID3","3","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"IC5","1","APX803","AXP083-SAG","working:SOT23","","",""
"MS2","1","FEATHERWING_SMTDUAL","FEATHERWING_SMTDUAL","working:FEATHERWING_SMT2","","",""
"Q4","1","BSS138","MOSFET-NWIDE","working:SOT23-WIDE","","",""
"R1, R2, R3, R4","4","10","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R5, R6, R8","3","100K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R7","1","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R12","1","3.9K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"SJ1, SJ2, SJ3, SJ4","4","SOLDERJUMPER_CLOSED","SOLDERJUMPER_CLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SW1","1","EVQQ2","SWITCH_TACT_SMT_EVQQ2_SMALL","working:EVQ-Q2_SMALLER","","",""
"SW2","1","Slide Switch","SWITCH_DPDTEG1390","working:EG1390","","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27","27","TESTPOINTPAD2MM","TESTPOINTPAD2MM","working:TESTPOINT_PAD_2MM","","",""
"U2","1","STMPE811","STMPE610","working:QFN16_3MM","","",""
"U$9, U$11, U$15, U$17","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"U$10","1","DISP_LCD_240X320_50PIN-2.4IN","DISP_LCD_240X320_50PIN-2.4IN","working:TFT_2.4IN_240X320_50PIN","","",""
"X1","1","MicroSD Holder","MICROSD","working:MICROSD","","",""
