"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\dangerousprototypes_breakout_boards_enc424j600_breakout\current_version\working\working.kicad_sch"
"Date:","21/09/2023 19:00:16"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","29"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C2","1","10uF","CPOL-EUSMCA","working:SMC_A","","",""
"C3, C4","2","27pf","C-EUC0603","working:C0603","","",""
"C5, C6, C7, C8, C11","5","0.1uF","C-EUC0603","working:C0603","","",""
"C9, C10","2","0.01uF","C-EUC0603","working:C0603","","",""
"C12, C13","2","6.8nF","C-EUC0603","working:C0603","","",""
"J1","1","HR911105A","HR911105A","working:HR911105A","","",""
"JP1, JP2","2","PINHD-1X14","PINHD-1X14","working:1X14","","",""
"L1","1","WE-KIL_0805","WE-KIL_0805","working:WE-KI_0805_B","","",""
"PWR0","1","LED805","LED805","working:LED-805","","",""
"Q2","1","25Mhz","CRYSTALHC49UP","working:HC49UP","","",""
"R1","1","12.4K 1%","R-EU_R0603","working:R0603","","",""
"R2","1","10R, 1/12W, 1%","R-EU_R0603","working:R0603","","",""
"R3","1","100K","R-EU_R0603","working:R0603","","",""
"R4, R5","2","1K1","R-EU_R0603","working:R0603","","",""
"R6","1","1k1","R-EU_R0603","working:R0603","","",""
"R10, R11, R12, R13","4","49R9 1%","R-EU_R0603","working:R0603","","",""
"U1","1","ENC424J600","ENC424J600","working:TQFP44","","",""
