"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_stemma_piezo_driver_amp_pcb_adafruit_stemma_piezo_driver_amp\current_version\working\working.kicad_sch"
"Date:","16/09/2023 16:15:53"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C4, C7","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"D1","1","RED","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"D2","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"FID2, FID3","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"JP1","1","0.1"" Header","HEADER-1X3","working:1X03_OVAL","","",""
"JP2","1","HEADER-1X570MIL","HEADER-1X570MIL","working:1X05_ROUND_70","","",""
"R1, R2, R3, R4","4","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"SJ1, SJ2","2","SOLDERJUMPER_CLOSED","SOLDERJUMPER_CLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SW1","1","1x2-DIP","DIPSWITCH_2PIN","working:DIPSWITCH_2PIN","","",""
"U$1, U$8","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1","1","PAM8904_EG","PAM8904_EG","working:QFN12-2MM","","",""
"X2","1","3.5mm","TERMBLOCK_1X2_3.5MM","working:TERMBLOCK_1X2-3.5MM","","",""
"X4","1","JST PH 3","CON_JST_PH_3PIN","working:JSTPH3","","",""
